"","WTI","Brent","Gasoline_NYH","Gasoline_US_Gulf","NYHNo2HeatingOil","LA_Diesel","USGulf_Kerosine","Propane","HenryHubNG"
"1",-2.868068833652,-5.73527300902564,-3.5824726518145,-2.70286723879194,-5.8048849807634,0,-5.19019371330589,-12.1115578612064,-0.255427980509674
"2",-6.1023622047244,-0.306547207429472,1.65791288029113,0.606982136707577,-2.95879571854961,3.54600513788698,-0.152322954052153,-11.8319660300332,-40.0363056224269
"3",1.2578616352201,2.08340869028421,-0.149588659158269,-0.606982136707583,3.10446216819603,11.9072526486255,6.49195460993155,-3.19045465187451,5.56730024262416
"4",0.448430493273544,-6.13110421614282,2.41363285532981,0.97403367483848,1.43428753594043,-4.90896101965235,3.79792480652165,1.32102317368065,-11.9877277259498
"5",-3.57142857142856,-2.11362009352643,-3.39563747342736,-2.12252866152817,-8.41386372949463,-6.76460699365728,-7.9137320558724,2.59081848586648,-9.9090902644231
"6",-6.01851851851852,-3.4878440619407,-1.15799474309594,-2.50639686632163,-5.66523153423804,-1.76515105753223,-5.17356743991889,3.27073179757843,-7.57118217356964
"7",-0.234192037470726,-0.56424873990817,-1.92313619278876,0.323102058144654,2.37888619640148,2.95720473623731,2.66682470821611,-1.78348676360343,4.14567136783461
"8",1.87793427230045,-0.257532977773267,1.12631922787106,3.17486983145803,1.07914716327644,1.31580845775112,-0.881062968215492,-2.07799684917453,-5.20951118834018
"9",-7.48792270531401,-7.15788968198997,-2.75404669368472,-4.87082003154458,-0.357782134788397,-2.58078839558726,-2.72002262991566,-5.54158391415694,3.73376704376441
"10",1.82767624020888,1.66718434666682,1.73014696357529,0.515022597631586,3.69435151916841,-2.64916154469763,1.09690313705739,-2.30557762999257,3.59936026479054
"11",2.05128205128204,-1.60923012887549,0.342466088136417,0.341880674878546,1.54244703256317,-1.62385164929081,-2.20597180647322,1.73414750364872,5.88405000229334
"12",-0.502512562814061,4.58614189488551,0.681433641973019,-1.37459209046351,-0.85397615481345,-3.89478990743829,-1.12150708201401,1.98588086496033,2.81708769666964
"13",-1.01010101010101,-2.06884650243538,0.508045123241891,-2.27481375259365,-3.84662808277959,-16.1268147596122,-2.47396061757558,-1.69975763685711,2.28842938335878
"14",4.33673469387754,5.06716322691377,4.13623890213822,4.83686678512845,-2.16224640131657,1.65293019512105,3.22302779049134,-0.286123228103223,3.99166074054424
"15",8.06845965770173,5.99293653336045,3.65991524483297,4.61366829357534,5.8372006221907,3.22608622182215,6.67515556439375,2.82504662858517,-4.90075791066945
"16",-3.84615384615385,1.90386512101665,1.08781181471831,4.25596144187959,-1.733145635164,3.89154162496736,-0.876429799358824,1.93109449130873,0.455581653586088
"17",-1.17647058823529,-5.92917635684975,-5.72493353293053,-5.38957682051322,-1.76371414861066,-1.53849188394795,-2.85733724440559,-4.18471099355005,1.3544225107757
"18",-9.52380952380952,-8.57196652922648,-10.5178680945079,-8.67153000074521,-8.9278584438526,-6.4021858764931,-8.11000297265726,-0.571430126343866,-1.8100041643618
"19",-0.263157894736843,-3.50298513292149,-0.364299127850109,-3.06606523947852,-0.194742028439557,-4.22003544903765,0.78278286202467,-2.31894449189102,-1.8433701688838
"20",-1.84696569920844,1.5330488924785,-4.28770243563919,-4.1127291423863,-0.586511945239813,-0.865806274311454,0.583092031079314,-0.588236990306652,4.54623740767574
"21",4.40860215053764,5.18782607686651,4.4700178917907,4.47836026269734,3.84662808277961,0,3.42890734786322,1.4641549992948,-3.62030486639606
"22",0.308959835221412,0.995033085316809,1.08696722369039,2.16614967811795,-1.13853222251254,-0.873367996875467,-0.940740710189548,1.1560822401076,-2.8039220064393
"23",-0.462012320328542,-0.995033085316809,3.36612825731318,6.73248143862542,-0.766287274556914,-2.66682470821612,-1.52383901049325,-0.576370471675013,2.34202742080986
"24",-0.876740587931935,1.15991358433519,0.174064447778412,-4.0891557318099,-0.578593706704389,0.896866998276032,0.191754612927185,0.576370471675013,4.52565915881206
"25",2.54942767950053,3.02889568589007,4.42248937378572,4.0891557318099,3.42238723875775,1.41846349919562,3.94417320512968,0.286944242795274,-1.78576174000062
"26",2.84119736174531,2.9398442621822,11.9076338377068,4.08887702539784,4.56700368331885,13.4850944168532,4.50120987872157,1.98588086496033,0.896866998276032
"27",-3.40404538727184,-4.0649565862185,-1.33830993756293,-1.12813444640398,-4.75409447690001,2.28146777661713,-3.40229772116205,2.22231367847103,6.06246218164346
"28",2.55362614913177,1.12511232403631,8.46383039968736,7.49180167504663,1.67134809737405,3.69045569354508,1.80510316455685,1.09290705321902,6.11188150560455
"29",-0.20304568527918,-1.54528461233482,-6.86063233568967,-6.64801701048358,-1.15164420615591,-0.73260400920729,0.365631120311048,-1.06383982050558,8.53230429738619
"30",-0.25432349949136,0.941053166738549,-5.81819553827357,-6.42112424568558,0.769234562315565,-2.98529631496812,-2.02771924391508,2.6386755173195,-0.74627212015896
"31",-1.22386537480876,-0.497101272202039,-5.68873744020515,-3.0117422464157,-2.32568621642672,-3.39015516756813,-2.25998319172409,0,6.8743152419603
"32",0,1.42938112571449,-2.63606696910685,-2.36589743166469,5.3447834443413,-2.05866336083884,2.2599831917241,0,2.7587956518829
"33",7.74393391843056,5.52157226024468,2.47333300316932,2.72496424473755,6.6511480635566,3.92207131532813,7.35757741635127,4.82940093589562,9.71637484536479
"34",9.53521801629131,9.50283970569571,3.67747274250209,5.40672212702756,5.08584172334912,0.76628727455691,5.38850884949794,5.31526069777337,-10.7420248620837
