1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%
-22.923,-19.216,-16.594,27.129,21.801,17.762,-29.975,-23.979,-20.125,30.568,25.29,21.179,-32.391,-27.063,-22.901,34.494,26.496,22.423,-37.686,-29.117,-22.681,30.732,27.174,21.583,-28.509,-21.653,-16.784,25.06,20.004,17.928,-30.512,-25.938,-21.936,33.988,27.944,22.227,-21.373,-18.278,-15.486,24.211,19.577,15.438,-31.218,-23.442,-18.749,29.133,22.919,19.261,-31.37,-26.365,-21.425,37.195,31.351,24.575
-24.16,-18.798,-15.191,24.437,21.346,17.546,-24.8,-20.659,-16.849,27.035,22.733,18.265,-30.761,-25.521,-21.994,34.619,26.769,21.292,-28.231,-24.412,-20.263,32.212,25.427,20.726,-22.206,-18.624,-15.793,26.497,19.063,15.431,-31.164,-24.714,-19.726,28.175,23.398,19.544,-19.916,-16.492,-13.828,21.753,16.448,13.854,-28.075,-22.896,-18.534,24.795,20.812,17.131,-23.879,-19.094,-15.858,32.437,26.685,22.575
-23.356,-18.057,-15.729,29.516,25.444,17.899,-31.41,-24.866,-20.617,26.675,23.924,19.94,-32.704,-26.686,-23.568,40.127,32.027,25.347,-36.857,-29.845,-24.125,36.303,29.717,23.311,-21.814,-18.064,-15.045,22.882,17.766,14.673,-26.275,-21.914,-18.45,32.78,23.686,19.869,-21.51,-15.755,-11.911,21.45,17.622,14.159,-25.956,-21.594,-18.521,28.554,23.775,20.258,-36.028,-29.951,-24.41,39.966,32.12,26.316
-23.982,-18.036,-14.988,26.606,22.286,19.164,-29.491,-25.341,-19.725,28.943,25.395,21.628,-34.252,-28.449,-22.813,36.328,27.796,24.097,-30.595,-24.086,-21.084,34.542,29.68,25.832,-19.732,-17.477,-14.344,23.426,19.675,16.342,-29.52,-22.946,-17.171,34.743,25.654,21.485,-20.026,-15.481,-12.572,21.172,17.811,14.766,-29.083,-23.222,-19.572,31.095,23.359,19.593,-31.342,-25.686,-21.61,42.565,30.643,25.241
-24.819,-19.42,-17.34,29.059,23.601,18.865,-34.459,-28.287,-22.548,32.501,28.329,22.862,-34.395,-27.045,-20.988,35.894,29.573,25.48,-37.989,-30.871,-22.804,37.627,29.409,25.46,-20.624,-17.453,-15.286,25.208,20.48,16.93,-28.56,-23.05,-18.066,29.018,26.027,21.14,-23.582,-18.173,-14.529,22.061,17.845,15.068,-25.233,-21.254,-17.88,26.991,22.467,17.31,-38.545,-29.439,-23.081,42.376,32.67,27.037
-27.337,-23.309,-18.197,30.999,25.132,20.698,-35.407,-30.773,-25.33,41.326,33.68,28.08,-32.475,-26.455,-22.428,35.261,28.169,23.512,-37.922,-28.632,-23.783,37.635,30.386,25.209,-27.159,-23.221,-19.218,27.403,24.714,20.899,-32.319,-27.88,-22.948,37.764,31.087,25.895,-23.087,-19.736,-16.408,27.742,22.824,18.723,-28.296,-21.978,-18.248,29.564,25.017,20.512,-40.369,-30.802,-25.507,40.726,33.403,27.146
-25.947,-21.298,-17.089,33.479,25.887,20.301,-39.567,-32.102,-26.326,35.822,32.671,25.828,-29.895,-24.884,-20.051,31.201,26.268,20.813,-33.055,-29.29,-24.279,31.831,27.6,23.117,-26.832,-21.254,-17.042,26.989,23.291,19.247,-34.748,-28.547,-23.09,40.033,34.002,27.885,-24.044,-18.55,-14.88,26.955,21.413,17.689,-26.243,-22.613,-17.205,28.441,24.118,19.429,-34.33,-29.153,-22.7,38.327,31.23,26.035
-25.837,-19.142,-15.589,31.853,25.618,21.566,-39.959,-29.928,-24.571,37.543,31.869,26.785,-33.922,-26.256,-21.665,31.321,25.468,21.986,-33.569,-27.127,-22.581,38.456,31.574,24.274,-23.102,-18.703,-16.549,27.905,22.486,18.749,-29.285,-26.559,-22.615,39.307,30.35,25.5,-23.233,-18.634,-14.245,25.697,21.521,17.566,-24.815,-20.869,-16.624,24.437,21.159,17.41,-35.913,-29.63,-23.52,41.03,34.111,27.481
-25.738,-19.826,-15.755,25.637,22.53,19.343,-34.383,-29.626,-24.932,39.802,33.72,27.307,-33.321,-27.065,-22.103,32.216,25.096,20.612,-31.098,-26.287,-21.406,36.145,28.494,23.606,-25.347,-19.331,-16.125,24.818,20.236,18.059,-29.166,-25.189,-20.602,36.721,31.793,25.43,-21.988,-16.728,-14.125,23.561,20.383,17.249,-26.871,-19.086,-15.053,23.916,20.164,16.586,-43.104,-36.747,-30.036,46.257,37.723,31.272
-30.378,-24.505,-19.912,31.493,26.458,21.878,-42.033,-33.832,-28.888,41.831,33.135,29.086,-27.12,-23.815,-20.263,31.68,25.355,20.855,-33.752,-27.838,-20.83,35.282,27.941,23.626,-25.493,-20.638,-16.548,28.618,23.293,20.217,-37.107,-27.775,-23.626,34.507,28.138,22.483,-29.885,-22.195,-18.356,29.344,23.924,19.12,-33.419,-24.524,-21.465,35.959,31.035,26.473,-56.634,-43.466,-34.522,57.634,48.953,39.92
-29.16,-23.613,-19.001,30.338,25.009,21.312,-39.856,-33.882,-26.579,42.762,33.206,27.419,-29.549,-23.979,-20.794,31.635,26.504,19.821,-30.223,-24.713,-19.117,33.735,25.434,20.769,-27.457,-23.861,-19.195,30.704,25.261,21.629,-34.665,-26.832,-23.255,36.126,29.456,25.068,-30.874,-25.559,-20.746,32.07,26.866,22.613,-41.512,-29.996,-26.209,39.956,36.171,30.372,-72.295,-57.88,-46.893,70.543,56.781,47.754
-26.054,-22.98,-18.364,28.843,23.635,19.197,-40.559,-32.159,-27.79,40.086,34.367,28.539,-29.403,-24.894,-20.084,33.629,25.476,21.273,-37.584,-30.106,-24.063,36.19,29.509,24.458,-28.301,-22.683,-17.79,29.06,24.837,19.773,-32.582,-27.041,-23.194,34.794,27.949,22.938,-28.44,-23.842,-20.701,28.77,24.987,20.037,-40.497,-29.107,-23.044,43.959,33.859,28.49,-59.496,-46.448,-36.396,64.32,53.151,45.548
-28.121,-21.137,-16.858,28.184,24.544,21.514,-36.493,-29.563,-24.767,38.5,33.462,26.115,-27.199,-21.113,-17.922,29.297,24.788,19.54,-40.743,-31.074,-25.938,42.323,34.568,28.598,-29.099,-22.409,-17.768,25.922,22.701,19.695,-33.381,-27.275,-21.929,32.194,27.93,23.596,-28.076,-22.771,-18.673,30.318,23.679,19.93,-33.523,-26.681,-21.381,34.991,28.972,25.746,-57.926,-45.328,-36.447,59.672,51.06,40.078
-24.907,-20.885,-16.276,27.751,23.685,20.19,-37.348,-33.005,-25.661,40.029,32.604,27.742,-32.808,-27.619,-21.864,31.998,25.849,22.048,-38.238,-33.933,-27.797,45.285,37.074,31.257,-23.891,-20.315,-16.894,25.778,21.366,17.255,-29.88,-23.806,-18.609,31.188,24.737,19.515,-30.989,-23.983,-18.583,27.435,23.733,20.262,-36.23,-29.442,-24.375,38.938,32.495,25.955,-53.308,-41.155,-34.905,62.239,50.501,37.201
-22.718,-18.924,-15.861,25.788,21.634,18.448,-33.293,-27.775,-21.24,40.633,34.111,28.251,-30.345,-25.809,-21.962,37.833,30.465,25.32,-47.145,-38.818,-30.914,45.924,38.33,31.659,-23.668,-20.098,-15.765,26.347,22.664,18.077,-27.276,-22.965,-17.785,29.457,24.296,19.365,-29.488,-22.011,-19.238,27.191,23.511,19.848,-34.141,-26.358,-21.066,37.614,31.221,24.364,-51.523,-41.359,-34.845,61.248,48.31,40.463
-24.155,-19.907,-15.008,30.121,23.964,19.798,-34.773,-29.909,-23.702,36.454,31.882,26.918,-38.18,-31.534,-24.995,36.408,30.993,24.999,-46.498,-40.21,-33.061,48.246,41.522,34.767,-23.123,-19.173,-15.438,26.033,22.023,18.298,-26.625,-21.187,-15.831,28.427,22.331,16.799,-23.145,-21.395,-16.82,28.761,23.869,20.07,-36.253,-29.4,-25.3,37.149,30.988,25.565,-53.267,-42.56,-36,52.782,45.067,37.591
